"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3,J1,J2,J4";"SATA";4;"1888174-6";;;
2;"J5,J6";"SAMTEC_IPL1-104-01-L-D-K";2;"IPL1-104-01-L-D-K";;;
